,order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
0,ORDK08650,2018-08-25,15:46:28,Lunch,BK,"[('Steak', 5), ('Salad', 10), ('Chicken', 3), ('Burger', 10)]",803.0,-37.819962700000005,144.98020449999999,0,7.14,15.2726598
1,ORDZ08693,2018-06-25,13:44:47,Lunch,NS,"[('Fries', 2), ('Salad', 3), ('Chicken', 7)]",299.6,-37.824434100000005,144.9846125,0,9.496,15.1082856
2,ORDC05592,2018-07-25,14:45:38,Lunch,NS,"[('Salad', 1), ('Fries', 2)]",41.2,-37.810661100000004,144.9559425,0,8.177,14.1200633
3,ORDX09163,2018-09-30,16:57:27,Dinner,BK,"[('Salmon', 6), ('Pasta', 6), ('Shrimp', 9)]",897.0,-37.811976200000004,144.96376809999998,0,7.534,17.379116699999997
4,ORDA01525,2018-01-28,08:50:42,Breakfast,BK,"[('Cereal', 9), ('Eggs', 9)]",387.0,-37.81684,144.96164119999997,0,7.992,15.2978068
5,ORDI08627,2018-10-08,17:17:44,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 7), ('Salmon', 1)]",303.5,-37.815605100000006,144.9581835,0,8.516,14.5499984
6,ORDJ06142,2018-04-23,11:43:05,Breakfast,TP,"[('Eggs', 9), ('Pancake', 6)]",343.5,-37.8187631,144.95340359999997,0,8.509,11.3185511
7,ORDA02353,2018-04-08,11:12:40,Breakfast,BK,"[('Eggs', 1), ('Pancake', 8), ('Cereal', 1)]",237.0,-37.8046973,144.9271116,0,10.781,18.3480786
8,ORDA02768,2018-11-11,18:18:35,Dinner,BK,"[('Salmon', 2), ('Fish&Chips', 3), ('Pasta', 5), ('Shrimp', 3)]",486.5,-37.82013679999999,144.98441359999998,0,6.4,15.844713199999997
9,ORDA07619,2018-09-05,16:06:45,Dinner,BK,"[('Fish&Chips', 2), ('Pasta', 8)]",290.0,-37.815945899999996,144.9285861,0,11.674,18.7477046
10,ORDI00586,2018-01-21,08:30:25,Breakfast,NS,"[('Pancake', 7), ('Coffee', 3)]",192.25,-37.800115999999996,144.9711949,0,6.18,13.212079999999998
