,order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
0,ORDI00869,2018-05-26,12:43:56,Lunch,NS,"[('Steak', 7), ('Salad', 3), ('Chicken', 3), ('Burger', 2), ('Fries', 10)]",644.6,-37.8058495,144.9558643,0,7.96,15.5680951
1,ORDJ00841,2018-03-17,10:21:58,Breakfast,TP,"[('Pancake', 8), ('Coffee', 9), ('Cereal', 1), ('Eggs', 10)]",502.5,-37.820559499999995,144.9839187,0,9.266,13.2427044
2,ORDI10994,2018-10-02,17:07:36,Dinner,NS,"[('Salmon', 3), ('Fish&Chips', 1), ('Shrimp', 6)]",482.0,-37.8206269,144.96687830000002,0,8.805,15.055625699999998
3,ORDJ00391,2018-03-18,10:32:06,Breakfast,TP,"[('Eggs', 6), ('Cereal', 3)]",195.0,-37.8231974,145.01429919999998,0,11.864,15.303649400000001
4,ORDY09101,2018-02-01,09:00:50,Breakfast,TP,"[('Pancake', 3), ('Cereal', 4), ('Eggs', 4)]",244.75,-37.8206179,144.9791298,0,8.803,11.2074879
5,ORDC10686,2018-03-20,10:32:06,Breakfast,NS,"[('Pancake', 8), ('Coffee', 6), ('Cereal', 8)]",407.0,-37.8121172,144.95922219999997,0,7.991,12.8641277
6,ORDI02876,2018-11-21,18:49:00,Dinner,NS,"[('Salmon', 4), ('Pasta', 5), ('Shrimp', 3)]",463.5,-37.824999600000005,144.96690680000003,0,9.24,15.2594784
7,ORDJ11006,2018-01-11,08:20:16,Breakfast,TP,"[('Coffee', 2), ('Pancake', 3), ('Cereal', 5)]",192.75,-37.8167185,144.9844199,1,9.304,5.7652787000000005
8,ORDA06509,2018-11-16,18:38:52,Dinner,BK,"[('Shrimp', 1), ('Pasta', 5)]",191.5,-37.8180701,144.9668782,0,7.521,14.3506309
9,ORDB05267,2018-08-31,15:56:37,Lunch,TP,"[('Salad', 3), ('Fries', 3), ('Chicken', 9), ('Steak', 1)]",420.6,-37.8047691,144.9621699,0,9.253,12.559840600000001
10,ORDC07056,2018-07-20,14:35:29,Lunch,NS,"[('Fries', 6), ('Salad', 1)]",89.2,-37.8223897,144.95514430000003,0,9.591,15.5522279
11,ORDZ08312,2018-02-01,09:00:50,Breakfast,NS,"[('Eggs', 1), ('Cereal', 10), ('Pancake', 4)]",329.0,-37.8029623,144.9290447,0,10.059,15.080841399999999
12,ORDI04706,2018-09-10,16:16:54,Dinner,NS,"[('Fish&Chips', 5), ('Pasta', 4)]",285.0,-37.8072638,144.9970284,0,8.934,15.088607999999999
13,ORDX02638,2018-02-13,09:21:07,Breakfast,BK,"[('Coffee', 2), ('Pancake', 1), ('Cereal', 2)]",81.25,-37.804073700000004,144.9827659,0,6.232,11.1928408
14,ORDC08709,2018-01-14,08:20:16,Breakfast,NS,"[('Eggs', 9), ('Coffee', 5)]",235.5,-37.817800899999995,144.98875969999997,1,9.193,8.1459758
15,ORDZ10317,2018-04-12,11:12:40,Breakfast,NS,"[('Cereal', 1), ('Pancake', 10)]",263.5,-37.814030100000004,144.9626401,0,8.081,13.106176099999999
16,ORDX09632,2018-06-07,13:14:21,Lunch,BK,"[('Salad', 10), ('Burger', 2), ('Chicken', 8), ('Fries', 8), ('Steak', 10)]",1036.0,-37.80588,144.95598999999999,0,8.069,14.367588699999999
17,ORDZ04938,2018-07-09,14:15:12,Lunch,NS,"[('Fries', 4), ('Chicken', 10), ('Burger', 10), ('Steak', 4)]",858.0,-37.813887799999996,144.940334,0,9.584,14.5887079
18,ORDB00670,2018-01-31,08:50:42,Breakfast,TP,"[('Pancake', 10), ('Coffee', 5), ('Cereal', 7)]",427.0,-37.822147799999996,144.9599219,0,8.672,11.3365412
19,ORDI00881,2018-09-16,16:37:10,Dinner,NS,"[('Shrimp', 2), ('Fish&Chips', 5), ('Salmon', 9)]",652.0,-37.816326200000006,144.96404750000002,0,8.294,15.9756293310656
20,ORDJ01449,2018-05-23,12:43:56,Lunch,TP,"[('Fries', 2), ('Chicken', 8), ('Steak', 10)]",730.0,-37.8137172,144.98865590000003,0,9.856,13.125484099999998
21,ORDX09737,2018-03-08,10:11:49,Breakfast,BK,"[('Eggs', 1), ('Pancake', 1), ('Coffee', 8)]",106.25,-37.8163429,144.965714,0,7.675,12.3664773
22,ORDA01178,2018-12-24,19:49:51,Dinner,BK,"[('Shrimp', 4), ('Salmon', 10), ('Pasta', 8), ('Fish&Chips', 5)]",1021.0,-37.818726899999994,145.001466,0,4.744,11.2979201
23,ORDY05125,2018-07-12,14:15:12,Lunch,TP,"[('Fries', 3), ('Chicken', 8), ('Salad', 10)]",464.0,-37.8102793,144.97287769999997,0,8.979,11.610453300000001
